[freebase -> gkg: progress] 6750 done, 0 error
[freebase -> gkg: progress] 6800 done, 0 error
[freebase -> gkg: progress] 6850 done, 0 error
[freebase -> gkg: progress] 6900 done, 0 error
[freebase -> gkg: progress] 6950 done, 0 error
[freebase -> gkg: progress] 7000 done, 0 error
[freebase -> gkg: progress] 7050 done, 0 error
[freebase -> gkg: progress] 7100 done, 0 error
[freebase -> gkg: progress] 7150 done, 0 error
[freebase -> gkg: progress] 7200 done, 0 error
[freebase -> gkg: progress] 7250 done, 0 error
[freebase -> gkg: progress] 7300 done, 0 error
[freebase -> gkg: progress] 7350 done, 0 error
[freebase -> gkg: progress] 7400 done, 0 error
[freebase -> gkg: progress] 7450 done, 0 error
[freebase -> gkg: progress] 7500 done, 0 error
[freebase -> gkg: progress] 7550 done, 0 error
[freebase -> gkg: progress] 7600 done, 0 error
[freebase -> gkg: progress] 7650 done, 0 error
[freebase -> gkg: progress] 7700 done, 0 error
[freebase -> gkg: progress] 7750 done, 0 error
[freebase -> gkg: progress] 7800 done, 0 error
[freebase -> gkg: progress] 7850 done, 0 error
[freebase -> gkg: progress] 7900 done, 0 error
[freebase -> gkg: progress] 7950 done, 0 error
[freebase -> gkg: progress] 8000 done, 0 error
[freebase -> gkg: progress] 8050 done, 0 error
[freebase -> gkg: progress] 8100 done, 0 error
[freebase -> gkg: progress] 8150 done, 0 error
[freebase -> gkg: progress] 8200 done, 0 error
[freebase -> gkg: progress] 8250 done, 0 error
[freebase -> gkg: progress] 8300 done, 0 error
[freebase -> gkg: progress] 8350 done, 0 error
[freebase -> gkg: progress] 8400 done, 0 error
[freebase -> gkg: progress] 8450 done, 0 error
[freebase -> gkg: progress] 8500 done, 0 error
[freebase -> gkg: progress] 8550 done, 0 error
[freebase -> gkg: progress] 8600 done, 0 error
[freebase -> gkg: progress] 8650 done, 0 error
[freebase -> gkg: progress] 8700 done, 0 error
[freebase -> gkg: progress] 8750 done, 0 error
[freebase -> gkg: progress] 8800 done, 0 error
[freebase -> gkg: progress] 8850 done, 0 error
[freebase -> gkg: progress] 8900 done, 0 error
[freebase -> gkg: progress] 8950 done, 0 error
[freebase -> gkg: progress] 9000 done, 0 error
[freebase -> gkg: progress] 9050 done, 0 error
[freebase -> gkg: progress] 9100 done, 0 error
[freebase -> gkg: progress] 9150 done, 0 error
[freebase -> gkg: progress] 9200 done, 0 error
[freebase -> gkg: progress] 9250 done, 0 error
[freebase -> gkg: progress] 9300 done, 0 error
[freebase -> gkg: progress] 9350 done, 0 error
[freebase -> gkg: progress] 9400 done, 0 error
[freebase -> gkg: progress] 9450 done, 0 error
[freebase -> gkg: progress] 9500 done, 0 error
[freebase -> gkg: progress] 9550 done, 0 error
[freebase -> gkg: progress] 9600 done, 0 error
[freebase -> gkg: progress] 9650 done, 0 error
[freebase -> gkg: progress] 9700 done, 0 error
[freebase -> gkg: progress] 9750 done, 0 error
[freebase -> gkg: progress] 9800 done, 0 error
[freebase -> gkg: progress] 9850 done, 0 error
[freebase -> gkg: progress] 9900 done, 0 error
[freebase -> gkg: progress] 9950 done, 0 error
[freebase -> gkg: progress] 10000 done, 0 error
[freebase -> gkg: progress] 10050 done, 0 error
[freebase -> gkg: progress] 10100 done, 0 error
[freebase -> gkg: progress] 10150 done, 0 error
[freebase -> gkg: progress] 10200 done, 0 error
[freebase -> gkg: progress] 10250 done, 0 error
[freebase -> gkg: progress] 10300 done, 0 error
[freebase -> gkg: progress] 10350 done, 0 error
[freebase -> gkg: progress] 10400 done, 0 error
[freebase -> gkg: progress] 10450 done, 0 error
[freebase -> gkg: progress] 10500 done, 0 error
[freebase -> gkg: progress] 10550 done, 0 error
[freebase -> gkg: progress] 10600 done, 0 error
[freebase -> gkg: progress] 10650 done, 0 error
[freebase -> gkg: progress] 10700 done, 0 error
[freebase -> gkg: progress] 10750 done, 0 error
[freebase -> gkg: progress] 10800 done, 0 error
[freebase -> gkg: progress] 10850 done, 0 error
[freebase -> gkg: progress] 10900 done, 0 error
[freebase -> gkg: progress] 10950 done, 0 error
[freebase -> gkg: progress] 11000 done, 0 error
[freebase -> gkg: progress] 11050 done, 0 error
[freebase -> gkg: progress] 11100 done, 0 error
[freebase -> gkg: progress] 11150 done, 0 error
[freebase -> gkg: progress] 11200 done, 0 error
[freebase -> gkg: progress] 11250 done, 0 error
[freebase -> gkg: progress] 11300 done, 0 error
[freebase -> gkg: progress] 11350 done, 0 error
[freebase -> gkg: progress] 11400 done, 0 error
[freebase -> gkg: progress] 11450 done, 0 error
[freebase -> gkg: progress] 11500 done, 0 error
[freebase -> gkg: progress] 11550 done, 0 error
[freebase -> gkg: progress] 11600 done, 0 error
[freebase -> gkg: progress] 11650 done, 0 error
[freebase -> gkg: progress] 11700 done, 0 error
[freebase -> gkg: progress] 11750 done, 0 error
[freebase -> gkg: progress] 11800 done, 0 error
[freebase -> gkg: progress] 11850 done, 0 error
[freebase -> gkg: progress] 11900 done, 0 error
[freebase -> gkg: progress] 11950 done, 0 error
[freebase -> gkg: progress] 12000 done, 0 error
[freebase -> gkg: progress] 12050 done, 0 error
[freebase -> gkg: progress] 12100 done, 0 error
[freebase -> gkg: progress] 12150 done, 0 error
[freebase -> gkg: progress] 12200 done, 0 error
[freebase -> gkg: progress] 12250 done, 0 error
[freebase -> gkg: progress] 12300 done, 0 error
[freebase -> gkg: progress] 12350 done, 0 error
